
======================================================================
RUNNING ALL EXPERIMENTS
Total experiments: 19
Total runs: 1000
Estimated time: ~66.7 minutes (at 4s/run)
======================================================================


######################################################################
# EXPERIMENT: baseline
# Baseline: unmodified airbench94
# Runs: 100
######################################################################


============================================================
Experiment: baseline_ec2132ab
Timestamp: 2025-12-08T21:23:26.463225
Config overrides: None
Number of runs: 100
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|      26  |      0  |      1.4424  |     0.7012  |   0.6957  |               |              0.4907  |
|          |      1  |      1.2686  |     0.7998  |   0.6602  |               |              0.9035  |
|          |      2  |      1.2188  |     0.8320  |   0.7809  |               |              1.3146  |
|          |      3  |      1.1484  |     0.8643  |   0.8330  |               |              1.6923  |
|          |      4  |      1.1221  |     0.8857  |   0.8557  |               |              2.0690  |
|          |      5  |      1.0732  |     0.9033  |   0.8567  |               |              2.4465  |
|          |      6  |      1.0674  |     0.9072  |   0.8856  |               |              2.8257  |
|          |      7  |      1.0332  |     0.9248  |   0.9085  |               |              3.2051  |
|          |      8  |      0.9629  |     0.9668  |   0.9245  |               |              3.5831  |
|          |      9  |      0.9370  |     0.9785  |   0.9338  |               |              3.9308  |
|          |   eval  |      0.9370  |     0.9785  |   0.9338  |       0.9400  |              4.0989  |
------------------------------------------------------------------------------------------------------
|      27  |      0  |      1.4092  |     0.7090  |   0.6794  |               |              0.4154  |
|          |      1  |      1.2520  |     0.8193  |   0.7211  |               |              0.8274  |
|          |      2  |      1.2354  |     0.8125  |   0.7106  |               |              1.2383  |
|          |      3  |      1.1523  |     0.8594  |   0.7859  |               |              1.6165  |
